Image,Box_Corners_Camera_Coordinates
1,"[[-0.27599824714601234, 1.1658012351920237, 8.046832280890733], [0.6128963991740188, 1.1486345870736847, 7.589042357524166], [0.6084102541224796, 0.14905866166476622, 7.617814633163755], [-0.28048439219755156, 0.16622530978310512, 8.075604556530322]]"
2,"[[-0.3010546416287038, 0.927579591755633, 11.947480039187353], [0.6304874243191929, 0.927491448275265, 11.583846471429574], [0.6087496024432275, -0.07073362917972614, 11.5284013468462], [-0.3227924635046692, -0.07064548569935813, 11.892034914603979]]"
3,"[[-0.27213878656858886, 0.11896845538500973, 18.194353811851062], [0.695715983065446, 0.08066087826914181, 18.442929101114014], [0.6686032193743099, -0.917803683845568, 18.394623653738908], [-0.299251550259725, -0.8794961067297, 18.146048364475956]]"
4,"[[0.3171940455634589, -0.2808370012364092, 25.519044713789757], [1.1887377354372262, -0.39588724916655027, 25.995673539074623], [1.1372362068175812, -1.3840716718907875, 25.851315860944897], [0.2656925169438141, -1.2690214239606465, 25.37468703566003]]"
5,"[[0.0997745866970287, -0.028879699687921513, 2.42949462854976], [0.2103561491834503, 0.6676338752275683, 1.7205231495772229], [0.04368705047028908, -0.022614422263387314, 1.016407605546998], [-0.06689451201613252, -0.7191279971788771, 1.7253790845195347]]"
6,"[[0.9688492807216125, 2.9346527940576346, 43.65938966938343], [1.8363944604209719, 2.9964383484654986, 43.165883938467445], [1.8317710970287069, 2.0052292900062625, 43.03365978432269], [0.9642259173293475, 1.9434437355983987, 43.527165515238664]]"
7,"[[0.6722814303257103, 3.9737485000480666, 52.47077848383266], [1.5102667282736377, 3.991011850448047, 51.925358813160535], [1.496434473637966, 2.9925055185578846, 51.872502650729395], [0.6584491756900387, 2.975242168157904, 52.41792232140152]]"
8,"[[-0.8005059528155868, 5.79457165859759, 68.27956743286933], [0.11118765412422382, 5.781781385832389, 67.8688958171133], [0.09309103676232999, 4.781985977073695, 67.85985960855571], [-0.8186025701774806, 4.794776249838898, 68.27053122431174]]"
9,"[[-1.6379666819144503, 6.326873771753027, 75.13821974884057], [-0.7573182909690807, 6.291878849242703, 74.66574354105458], [-0.760290970754491, 5.294222060488656, 74.73409626614917], [-1.6409393616998607, 5.32921698299898, 75.20657247393515]]"
10,"[[-3.391071077950969, 6.604141026107643, 80.94999062177457], [-2.4777895162743806, 6.576122388990935, 80.54362656692265], [-2.518698675889741, 5.5772258355457005, 80.52055892346266], [-3.431980237566329, 5.6052444726624095, 80.92692297831458]]"
11,"[[-3.1684074820355197, 5.2265154606051265, 82.70174389825394], [-2.3130981964052335, 5.13540449199984, 82.19169996160296], [-2.396045064169794, 4.13960561621711, 82.2304867650018], [-3.25135434980008, 4.230716584822396, 82.74053070165276]]"
