Image,Box_Corners_Camera_Coordinates
1,"[[-0.5962243222627994, 0.4258843766476378, 5.249246414708324], [0.35432124149854294, 0.4431782411728815, 4.939143119879949], [0.35697308299811426, -0.5556858520282248, 4.891566959356083], [-0.5935724807632282, -0.5729797165534687, 5.2016702541844575]]"
2,"[[-0.748975441455438, -0.16359760887395502, 7.650301148158305], [0.22437624274786472, -0.1315907191737994, 7.423228345140606], [0.21012591313623696, -1.111446132887967, 7.224029207790572], [-0.7632257710670658, -1.1434530225881228, 7.451102010808272]]"
3,"[[-0.9571391110075514, -1.5735109526337945, 11.74067548255453], [0.038611768166906923, -1.6183362462563662, 11.821117260723243], [0.02180512020422687, -2.5656577662838744, 11.501274370733437], [-0.9739457589702314, -2.5208324726613025, 11.420832592564725]]"
4,"[[-0.6106627399752884, -2.6419979258806547, 16.387344540860646], [0.2773045984525637, -2.824143376413843, 16.809644245733164], [0.23113611094583386, -3.7730382098265602, 16.497447087059367], [-0.6568312274820182, -3.590892759293372, 16.07514738218685]]"
5,"[[-0.06887818760235209, -0.856986024842258, 2.462656640489434], [0.07912018153610012, 0.07121299132281456, 2.121272591180522], [0.003632936987271518, -0.2623633420008913, 1.181576626649048], [-0.14436543215118058, -1.190562358165964, 1.52296067595796]]"
6,"[[-0.5881487401977465, -1.0478994953071983, 27.578439416076478], [0.3195168747142947, -0.9348891811747735, 27.174246639785217], [0.3182300359488657, -1.8972004758286236, 26.902299372419606], [-0.5894355789631756, -2.0102107899610484, 27.306492148710866]]"
7,"[[-1.2167699731809118, -0.8156773548049981, 33.20674675847012], [-0.3326798850106464, -0.7431213517778276, 32.745097170120026], [-0.34319040192310535, -1.7276577036555865, 32.57023236272452], [-1.2272804900933707, -1.800213706682757, 33.03188195107462]]"
8,"[[-3.3050244154044304, -0.4400256326278893, 43.128805614048375], [-2.3508347817091675, -0.4128381884046744, 42.83084087481719], [-2.3627753461936187, -1.404447768477818, 42.70212466128154], [-3.3169649798888816, -1.431635212701033, 43.00008940051272]]"
9,"[[-4.426116185301249, -0.5366171501490612, 47.56466645716687], [-3.4964403594202538, -0.5253862498486257, 47.19645900796068], [-3.4972861422862884, -1.5248536919342581, 47.16383820382978], [-4.426961968167284, -1.5360845922346937, 47.53204565303598]]"
10,"[[-6.444103703066196, -0.7940264812263937, 51.24761825097246], [-5.486433108603994, -0.7816715169432609, 50.96001716029307], [-5.51551267758863, -1.771487357635876, 50.82066515929689], [-6.473183272050831, -1.7838423219190087, 51.10826624997628]]"
11,"[[-6.296704127145591, -2.3333651914965703, 52.4797326261594], [-5.38632310872087, -2.372228982853793, 52.0677908741928], [-5.462874811172708, -3.366441042812084, 51.992410394722214], [-6.373255829597429, -3.3275772514548616, 52.40435214668881]]"
